symbol,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
SHFE.cu2105P49000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,3,nan,6016.0,1.0,3,1823.0,1823.0,nan,0,3.0,1,nan,0,2.0,5,nan,0,1.0,2,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P50000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,1,nan,6404.0,1.0,1,2211.0,2211.0,nan,0,3.0,1,nan,0,2.0,5,nan,0,1.0,2,nan,0,nan,0,nan,0,nan,0
SHFE.hc2105,2020-08-21 15:00:00.000001,3707.0,3725.0,3691.0,3723.0,3707.0,3707.588321,13768,510460760.0,36790,3707.0,3935.0,3490.0,33700,3713.0,3720.0,3707.0,1,3706.0,5,3708.0,1,3705.0,6,3709.0,3,3704.0,1,3710.0,66,3703.0,1,3712.0,9,3702.0,6
SHFE.ni2105,2020-08-21 14:59:59.999500,115860.0,117270.0,115200.0,117200.0,115860.0,116320.594595,185,21519310.0,1024,116320.0,125520.0,106930.0,1006,116230.0,116330.0,115920.0,1,115680.0,2,116200.0,4,115290.0,1,116350.0,1,115180.0,3,116370.0,2,114860.0,1,116400.0,2,114850.0,1
SHFE.pb2105,2020-08-21 14:59:59.999500,15800.0,15825.0,15740.0,15815.0,15800.0,15794.375,8,631775.0,39,15790.0,17115.0,14580.0,41,15850.0,15775.0,16645.0,2,15700.0,1,16950.0,1,15460.0,1,17110.0,2,15455.0,1,17115.0,1,14625.0,1,nan,0,nan,0
SHFE.rb2105,2020-08-21 14:59:59.999500,3663.0,3684.0,3653.0,3665.0,3663.0,3665.960597,38677,1417883580.0,162713,3665.0,3906.0,3463.0,159351,3685.0,3661.0,3663.0,1,3662.0,8,3664.0,13,3661.0,62,3665.0,45,3660.0,32,3666.0,55,3659.0,6,3667.0,29,3658.0,11
SHFE.ru2105,2020-08-21 14:59:59.999500,12550.0,12580.0,12455.0,12540.0,12550.0,12523.707707,7123,892063700.0,21672,12520.0,13285.0,11780.0,21428,12535.0,12535.0,12555.0,6,12550.0,2,12560.0,2,12535.0,2,12565.0,3,12530.0,5,12570.0,11,12525.0,2,12575.0,13,12520.0,6
SHFE.ru2105C10000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,3411.0,1906.0,0,2659.0,2659.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C10250,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,3203.0,1698.0,0,2451.0,2451.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C10500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,3004.0,1499.0,0,2252.0,2252.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C10750,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,2813.0,1308.0,0,2061.0,2061.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
